                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8993,                 4.7232,                 1.6119,                0.34764,                0.59278,                0.34489,                0.19177,                  1.428,                  2.135,                 1.3269,              0.0002376,              0.0002376,              0.0002376
                      2,                  1.303,                 1.9258,                 1.2544,                0.40145,                0.72149,                0.50871,                0.36113,                 1.0969,                 1.4929,                 1.1446,             0.00042851,             0.00042851,             0.00042851
                      3,                 1.1448,                 1.5918,                 1.1622,                0.41992,                0.81154,                0.50849,                0.36715,                 1.0288,                 1.3421,                 1.1116,              0.0005723,              0.0005723,              0.0005723
                      4,                 1.0628,                 1.4052,                 1.1184,                0.44889,                0.85227,                0.59241,                 0.4407,                0.93934,                 1.1864,                 1.0588,             0.00050194,             0.00050194,             0.00050194
                      5,                0.95358,                  1.262,                  1.058,                0.46328,                0.89357,                 0.5084,                0.38661,                 0.8726,                 1.1641,                 1.0347,             0.00043126,             0.00043126,             0.00043126
                      6,                0.88408,                 1.1534,                 1.0315,                 0.4882,                0.88218,                0.57496,                0.44754,                0.83887,                 1.0983,                 1.0168,             0.00036057,             0.00036057,             0.00036057
                      7,                0.82004,                 1.0942,                 1.0017,                0.47571,                0.93244,                0.57353,                0.46185,                0.76271,                0.99005,                0.98841,             0.00028988,             0.00028988,             0.00028988
                      8,                  0.759,                 1.0351,                0.97179,                0.48737,                0.94031,                0.57693,                0.46972,                0.72424,                0.97385,                0.97709,              0.0002192,              0.0002192,              0.0002192
                      9,                0.72117,                0.99283,                0.94069,                0.49818,                0.94063,                0.66462,                0.55081,                0.70126,                0.91034,                0.96771,             0.00014851,             0.00014851,             0.00014851
                     10,                0.68007,                0.95272,                0.93596,                 0.4926,                0.95644,                0.57002,                0.47722,                0.67548,                   0.93,                0.95909,             7.7826e-05,             7.7826e-05,             7.7826e-05
